id,idade,genero,renda_mensal,cidade,produto_favorito,comprou_promo,frequencia_visitas,valor_total_gasto
1,64.0,F,2378.0,São Paulo,oleo,Não,3,228
2,48.0,F,7917.0,São Paulo,arroz,Não,9,819
3,55.0,F,3323.0,São Paulo,cafe,Não,9,738
4,19.0,M,1923.0,Curitiba,,Sim,6,312
5,50.0,M,3813.0,Rio,arroz,Não,8,288
6,42.0,M,2219.0,Rio,arroz,Não,1,100
7,57.0,F,5159.0,Rio,cafe,Sim,2,192
8,60.0,M,3487.0,Rio,feijao,Sim,9,891
9,34.0,F,3836.0,São Paulo,acucar,Sim,2,60
10,32.0,F,7004.0,Belo Horizonte,oleo,Sim,8,336
11,20.0,M,3402.0,Curitiba,oleo,Sim,7,490
12,26.0,F,4991.0,Salvador,cafe,Sim,7,273
13,39.0,M,,Curitiba,cafe,Não,2,182
14,28.0,,7304.0,Belo Horizonte,cafe,Sim,5,460
15,19.0,F,2848.0,São Paulo,oleo,Não,7,532
16,31.0,M,,Belo Horizonte,feijao,Não,9,801
17,32.0,F,5432.0,Rio,cafe,Não,6,366
18,58.0,,7855.0,Curitiba,oleo,Sim,8,160
19,49.0,F,4759.0,Curitiba,feijao,Sim,10,260
20,22.0,M,3495.0,Belo Horizonte,feijao,Não,6,198
21,43.0,M,4358.0,São Paulo,arroz,Não,9,486
22,,F,,São Paulo,,Não,2,120
23,28.0,F,1543.0,Salvador,oleo,Não,9,459
24,,F,7627.0,Curitiba,cafe,Não,7,168
25,54.0,F,1620.0,Curitiba,,Sim,6,324
26,26.0,M,1904.0,São Paulo,acucar,Sim,7,315
27,26.0,F,2339.0,Belo Horizonte,arroz,Não,8,336
28,48.0,F,3610.0,Belo Horizonte,arroz,Não,5,220
29,,M,5401.0,Salvador,acucar,Não,10,460
30,36.0,M,6136.0,São Paulo,feijao,Não,6,228
31,55.0,F,4301.0,São Paulo,acucar,Não,6,162
32,65.0,F,6859.0,Salvador,cafe,Sim,3,207
33,25.0,M,3496.0,Belo Horizonte,feijao,Não,1,44
34,42.0,F,2561.0,São Paulo,acucar,Sim,4,308
35,40.0,M,7816.0,São Paulo,cafe,Sim,9,864
36,62.0,F,6946.0,São Paulo,cafe,Não,3,93
37,35.0,M,1437.0,Salvador,,Sim,7,217
38,37.0,M,6713.0,São Paulo,acucar,Sim,5,275
39,,F,5528.0,Rio,cafe,Sim,5,455
40,,M,2058.0,São Paulo,arroz,Sim,7,469
41,61.0,F,,Belo Horizonte,acucar,Sim,3,234
42,,M,6380.0,Salvador,arroz,Não,8,536
43,41.0,M,1653.0,São Paulo,feijao,Sim,3,273
44,52.0,F,4044.0,Curitiba,oleo,Não,9,837
45,49.0,F,3950.0,Curitiba,,Não,3,141
46,33.0,,1320.0,Curitiba,oleo,Não,5,315
47,20.0,F,3784.0,São Paulo,oleo,Sim,10,400
48,41.0,F,4872.0,Rio,feijao,Sim,4,340
49,25.0,M,,Belo Horizonte,oleo,Sim,5,235
50,42.0,M,1292.0,São Paulo,cafe,Não,10,800
51,59.0,F,7560.0,Rio,arroz,Sim,9,513
52,34.0,M,,Rio,oleo,Não,2,58
53,43.0,F,3594.0,Salvador,feijao,Não,6,480
54,21.0,M,5645.0,São Paulo,,Não,7,609
55,,M,5700.0,Rio,acucar,Sim,2,110
56,42.0,F,2611.0,Salvador,feijao,Não,9,513
57,63.0,F,7109.0,Rio,oleo,Não,5,230
58,22.0,,5954.0,Salvador,feijao,Sim,4,124
59,35.0,F,2430.0,Curitiba,acucar,Sim,4,112
60,20.0,M,2278.0,São Paulo,cafe,Sim,10,220
61,63.0,M,7522.0,Curitiba,acucar,Sim,10,690
62,20.0,M,2290.0,Salvador,oleo,Sim,2,184
63,34.0,M,7275.0,Rio,feijao,Sim,9,405
64,54.0,F,2583.0,Salvador,cafe,Sim,5,385
65,28.0,M,1711.0,Curitiba,oleo,Não,10,640
66,,F,1459.0,São Paulo,acucar,Sim,10,240
67,42.0,M,3517.0,Belo Horizonte,acucar,Não,4,252
68,61.0,F,2527.0,Rio,,Sim,7,364
69,43.0,,,Curitiba,cafe,Não,2,96
70,40.0,M,4688.0,Rio,oleo,Não,4,88
71,44.0,F,7678.0,Belo Horizonte,oleo,Sim,3,156
72,62.0,,7084.0,Rio,,Sim,6,294
73,59.0,F,3802.0,Salvador,oleo,Não,2,104
74,19.0,M,4335.0,Belo Horizonte,oleo,Não,2,96
75,56.0,M,5161.0,São Paulo,acucar,Sim,10,960
76,19.0,M,2081.0,Rio,arroz,Não,9,468
77,40.0,M,3448.0,Salvador,acucar,Não,5,420
78,21.0,M,5832.0,Rio,cafe,Sim,2,98
79,48.0,M,4805.0,Curitiba,arroz,Sim,4,108
80,27.0,F,,Curitiba,cafe,Não,1,71
81,18.0,M,,São Paulo,cafe,Sim,4,108
82,64.0,M,3099.0,São Paulo,arroz,Não,7,350
83,59.0,M,,Curitiba,oleo,Sim,10,420
84,60.0,M,,São Paulo,cafe,Sim,9,540
85,39.0,F,4243.0,Salvador,arroz,Não,7,623
86,25.0,M,3321.0,Rio,cafe,Não,5,455
87,20.0,M,,São Paulo,,Sim,3,270
88,35.0,F,4715.0,Curitiba,acucar,Sim,3,228
89,32.0,M,2641.0,Belo Horizonte,feijao,Não,3,225
90,38.0,,6899.0,São Paulo,acucar,Não,6,540
91,50.0,F,6787.0,Belo Horizonte,oleo,Sim,8,504
92,,F,,Rio,cafe,Sim,3,84
93,,F,2947.0,São Paulo,cafe,Sim,7,490
94,53.0,M,3892.0,São Paulo,feijao,Sim,1,55
95,59.0,F,7331.0,Belo Horizonte,oleo,Não,9,495
96,44.0,M,,Belo Horizonte,cafe,Não,6,450
97,63.0,F,5117.0,Rio,feijao,Sim,7,294
98,43.0,F,1316.0,Salvador,,Sim,10,270
99,32.0,M,4433.0,Salvador,cafe,Não,9,864
100,25.0,M,3474.0,Belo Horizonte,acucar,Não,5,190
101,27.0,,,Belo Horizonte,oleo,Sim,3,63
102,56.0,M,3135.0,Belo Horizonte,arroz,Sim,5,365
103,31.0,M,7057.0,São Paulo,acucar,Não,1,39
104,,F,4460.0,Rio,cafe,Não,6,528
105,45.0,M,7812.0,Curitiba,acucar,Sim,10,440
106,64.0,,3620.0,Curitiba,,Sim,4,148
107,34.0,M,1635.0,Curitiba,arroz,Não,3,246
108,42.0,F,7203.0,Rio,cafe,Sim,7,245
109,23.0,M,,Belo Horizonte,oleo,Não,4,84
110,,F,3351.0,São Paulo,acucar,Não,6,120
111,59.0,F,6239.0,Belo Horizonte,acucar,Sim,6,318
112,60.0,M,5456.0,Belo Horizonte,oleo,Sim,5,250
113,58.0,M,5750.0,Belo Horizonte,feijao,Não,2,174
114,46.0,M,5402.0,Salvador,cafe,Sim,6,192
115,,F,7690.0,Curitiba,acucar,Sim,2,138
116,,M,4713.0,Belo Horizonte,cafe,Não,7,462
117,60.0,F,2926.0,São Paulo,acucar,Não,1,89
118,22.0,M,7890.0,Salvador,oleo,Sim,7,196
119,55.0,F,6848.0,São Paulo,,Não,6,438
120,40.0,F,1707.0,Rio,acucar,Não,6,462
121,61.0,,6695.0,São Paulo,oleo,Sim,5,250
122,21.0,M,5427.0,Salvador,,Sim,6,600
123,63.0,F,,Belo Horizonte,acucar,Sim,9,675
124,45.0,M,6044.0,Rio,arroz,Não,2,104
125,27.0,M,5205.0,Curitiba,feijao,Não,2,42
126,,,7992.0,Salvador,oleo,Não,8,216
127,44.0,M,,Curitiba,feijao,Não,7,266
128,47.0,M,,São Paulo,feijao,Não,7,539
129,29.0,M,5186.0,Belo Horizonte,arroz,Não,6,306
130,38.0,,7290.0,Salvador,cafe,Não,9,243
131,50.0,F,5450.0,Rio,feijao,Sim,2,134
132,61.0,M,5621.0,São Paulo,,Não,10,1000
133,61.0,F,4247.0,São Paulo,acucar,Sim,7,686
134,25.0,M,5858.0,Belo Horizonte,cafe,Sim,9,342
135,24.0,F,6196.0,Salvador,acucar,Não,2,146
136,24.0,F,7508.0,São Paulo,oleo,Sim,10,510
137,20.0,M,5351.0,Curitiba,acucar,Sim,9,540
138,35.0,M,2678.0,Salvador,acucar,Não,5,225
139,57.0,M,5430.0,Belo Horizonte,oleo,Não,8,752
140,49.0,F,2816.0,Belo Horizonte,acucar,Não,10,470
141,56.0,F,7430.0,Belo Horizonte,cafe,Não,10,980
142,23.0,F,7808.0,Curitiba,cafe,Sim,9,585
143,44.0,F,5587.0,Salvador,oleo,Não,3,84
144,45.0,M,,Salvador,feijao,Sim,9,513
145,41.0,M,5651.0,São Paulo,arroz,Sim,2,136
146,39.0,F,3860.0,Salvador,arroz,Sim,3,120
147,55.0,M,7910.0,São Paulo,cafe,Não,6,396
148,35.0,F,,Salvador,,Não,3,126
149,26.0,F,2881.0,Belo Horizonte,cafe,Sim,8,584
150,24.0,F,5754.0,Belo Horizonte,oleo,Sim,3,273
151,,M,2442.0,Salvador,,Sim,1,68
152,25.0,F,2168.0,Salvador,cafe,Sim,3,180
153,,M,7717.0,Belo Horizonte,feijao,Sim,6,462
154,30.0,F,7216.0,Salvador,acucar,Sim,8,480
155,26.0,F,2078.0,São Paulo,feijao,Não,2,82
156,58.0,M,1522.0,Belo Horizonte,feijao,Sim,9,522
157,,M,5813.0,Belo Horizonte,oleo,Sim,3,72
158,42.0,F,,São Paulo,oleo,Sim,7,504
159,32.0,M,4777.0,Rio,acucar,Sim,9,612
160,62.0,F,4846.0,São Paulo,,Não,7,693
161,32.0,F,6452.0,Belo Horizonte,,Sim,5,165
162,18.0,F,1845.0,Belo Horizonte,oleo,Sim,6,210
163,32.0,M,1905.0,Rio,feijao,Não,4,196
164,59.0,F,5746.0,Curitiba,oleo,Não,3,114
165,18.0,F,5858.0,Rio,oleo,Não,9,702
166,30.0,M,4969.0,Rio,acucar,Não,4,396
167,49.0,F,2114.0,São Paulo,,Não,3,258
168,63.0,F,6024.0,Curitiba,feijao,Sim,6,558
169,18.0,,4163.0,Belo Horizonte,acucar,Sim,10,760
170,,,7522.0,Salvador,arroz,Sim,6,132
171,55.0,M,1829.0,São Paulo,oleo,Não,5,175
172,,,4352.0,Rio,oleo,Não,7,679
173,53.0,M,6130.0,Curitiba,oleo,Não,8,424
174,63.0,M,1858.0,Salvador,acucar,Não,3,153
175,44.0,M,2841.0,São Paulo,feijao,Não,5,245
176,,F,5022.0,Salvador,cafe,Não,6,300
177,52.0,F,2531.0,Curitiba,cafe,Não,5,260
178,,M,7683.0,Belo Horizonte,oleo,Não,6,582
179,22.0,F,7222.0,Rio,cafe,Sim,6,570
180,59.0,F,6657.0,Belo Horizonte,acucar,Não,6,528
181,63.0,M,5013.0,Curitiba,oleo,Não,2,68
182,37.0,F,7571.0,Belo Horizonte,feijao,Sim,9,369
183,29.0,M,3299.0,Salvador,feijao,Sim,2,190
184,21.0,F,6109.0,Curitiba,oleo,Não,4,88
185,22.0,F,7111.0,Rio,acucar,Não,7,644
186,,M,7402.0,Belo Horizonte,feijao,Não,10,790
187,30.0,M,6669.0,Salvador,oleo,Não,3,69
188,45.0,F,1486.0,Belo Horizonte,cafe,Sim,1,48
189,28.0,F,1953.0,Curitiba,feijao,Não,1,74
190,52.0,M,2350.0,Rio,cafe,Sim,2,144
191,36.0,F,4030.0,São Paulo,feijao,Sim,1,99
192,61.0,F,1747.0,São Paulo,acucar,Não,10,960
193,40.0,F,1327.0,Curitiba,cafe,Sim,2,192
194,39.0,F,5663.0,Rio,arroz,Não,9,324
195,56.0,M,,Rio,cafe,Sim,6,300
196,44.0,F,1992.0,Belo Horizonte,oleo,Sim,5,105
197,39.0,F,4941.0,Curitiba,acucar,Sim,6,492
198,38.0,M,5824.0,Belo Horizonte,arroz,Sim,1,71
199,57.0,F,1710.0,Belo Horizonte,arroz,Sim,9,414
200,,M,7959.0,Belo Horizonte,feijao,Não,1,95
201,55.0,F,7958.0,Curitiba,oleo,Não,7,217
202,51.0,F,3314.0,Curitiba,feijao,Não,9,531
203,61.0,F,4375.0,São Paulo,feijao,Sim,10,740
204,53.0,M,1260.0,São Paulo,arroz,Sim,4,324
205,63.0,M,6026.0,Curitiba,cafe,Sim,6,312
206,37.0,M,2739.0,São Paulo,feijao,Não,7,301
207,56.0,F,2760.0,Curitiba,,Não,8,160
208,57.0,M,1546.0,Curitiba,,Sim,10,520
209,42.0,F,1645.0,Salvador,oleo,Não,1,63
210,55.0,F,5138.0,Curitiba,feijao,Não,7,189
211,28.0,F,4254.0,São Paulo,cafe,Não,1,93
212,57.0,M,,Salvador,,Não,3,144
213,23.0,M,1780.0,Belo Horizonte,arroz,Sim,3,105
214,65.0,F,4192.0,Rio,cafe,Sim,9,432
215,21.0,M,4336.0,Belo Horizonte,arroz,Não,6,228
216,51.0,F,4246.0,Salvador,feijao,Sim,5,110
217,29.0,F,3334.0,Curitiba,oleo,Sim,9,198
218,47.0,F,6092.0,Salvador,oleo,Sim,5,210
219,44.0,M,7025.0,Salvador,oleo,Não,9,378
